"source","translation_en_US"
"SPQR","SPQR"
"QART-HADAST","QART-HADAST"
"Enter","Enter"
"Esc","Esc"
"Navigate","Navigate"
"Confirm","Confirm"
"Resume battle","Resume battle"
"Hannibal Barca","Hannibal Barca"
"Scipio Africanus","Scipio Africanus"
"CARTHAGE","CARTHAGE"
"ROME","ROME"
"Tutorial","Tutorial"
"Learn to command in a guided first battle","Learn to command in a guided first battle"
"Training","Training"
"Field Manual","Field Manual"
"How selection, economy, buildings and armies work","How selection, economy, buildings and armies work"
"Help","Help"
"Missions","Missions"
"One small field, one order to carry out","One small field, one order to carry out"
"Detail","Detail"
"Save game","Save game"
"Load game","Load game"
"Centre","Centre"
"East","East"
"North-East","North-East"
"North","North"
"North-West","North-West"
"West","West"
"South-West","South-West"
"South","South"
"South-East","South-East"
"Maps","Maps"
"No maps available","No maps available"
"Select a map\nto see preview","Select a map\nto see preview"
"No preview available","No preview available"
"%1 — held by %2","%1 — held by %2"
"%1 — free, click to claim it","%1 — free, click to claim it"
"Click a base to reseat","Click a base to reseat"
"Bases in player colours","Bases in player colours"
"No maps available","No maps available"
"Loading maps...","Loading maps..."
"Team %1","Team %1"
"+ Add CPU","+ Add CPU"
"Roman Republic","Roman Republic"
"Commander","Commander"
"Nation","Nation"
"Need at least 1 enabled player to start","Need at least 1 enabled player to start"
"Need at least 2 enabled players to start","Need at least 2 enabled players to start"
"At least two teams must be selected to start a match","At least two teams must be selected to start a match"
"CPU %1","CPU %1"
"You","You"
"Skirmish","Skirmish"
"Pick a battlefield, then set the colours, nations and commanders that take the field.","Pick a battlefield, then set the colours, nations and commanders that take the field."
"← Back","← Back"
"Battlefields","Battlefields"
"Slots","Slots"
"Player slots this battlefield was authored for","Player slots this battlefield was authored for"
"In play","In play"
"Players that will take the field","Players that will take the field"
"Sides","Sides"
"Distinct teams among the players in play","Distinct teams among the players in play"
"Opposition","Opposition"
"Scripted","Scripted"
"Players only","Players only"
"This battlefield brings its own enemies, so you can start alone","This battlefield brings its own enemies, so you can start alone"
"This battlefield needs at least two opposing players","This battlefield needs at least two opposing players"
"Select a battlefield to continue","Select a battlefield to continue"
"Order of Battle","Order of Battle"
"Click any chip to change it","Click any chip to change it"
"Every slot on this battlefield is taken","Every slot on this battlefield is taken"
"Add an AI opponent","Add an AI opponent"
"Leave this slot empty","Leave this slot empty"
"Bring this slot into the battle","Bring this slot into the battle"
"Slot %1 • click to move seat","Slot %1 • click to move seat"
"Slot %1 • AI","Slot %1 • AI"
"Colour","Colour"
"Player colour — click to change","Player colour — click to change"
"Nation — click to change","Nation — click to change"
"%1 — click to change commander","%1 — click to change commander"
"Commander — click to change","Commander — click to change"
"Team — click to change sides","Team — click to change sides"
"Remove this opponent","Remove this opponent"
"↑ ↓ Choose","↑ ↓ Choose"
"Enter Start","Enter Start"
"Esc Back","Esc Back"
"Play ▶","Play ▶"
"Start the battle (Enter)","Start the battle (Enter)"
"Observe","Observe"
"Pick a battlefield with at least two camps to watch","Pick a battlefield with at least two camps to watch"
"Watch the computer fight itself on this battlefield","Watch the computer fight itself on this battlefield"
"%1 gold","%1 gold"
"Treasury","Treasury"
"Gold every side starts with — click to change","Gold every side starts with — click to change"
"This battlefield only has %1 starting bases","This battlefield only has %1 starting bases"
"Every player in play needs a starting base","Every player in play needs a starting base"
"Click any chip to change it • pick a base on the map for the highlighted seat","Click any chip to change it • pick a base on the map for the highlighted seat"
"Base","Base"
"None","None"
"Starting base — click for the next free one, or pick it on the map","Starting base — click for the next free one, or pick it on the map"
"Player %1","Player %1"
"AI Player %1","AI Player %1"
"Unnamed Map","Unnamed Map"
"Battle of Cannae","Battle of Cannae"
"Battle of Lake Trasimene","Battle of Lake Trasimene"
"Battle of Ticino","Battle of Ticino"
"Battle of Trebia","Battle of Trebia"
"Battle of Zama","Battle of Zama"
"Campania Campaign","Campania Campaign"
"Crossing the Alps","Crossing the Alps"
"Crossing the Rhone - Polished Maze Version","Crossing the Rhone - Polished Maze Version"
"Iron Sepulcher Watch","Iron Sepulcher Watch"
"Small authored scenario that demonstrates ruins, a shrine, and undead awakening zones.","Small authored scenario that demonstrates ruins, a shrine, and undead awakening zones."
"A quiet meadow between a Carthaginian camp and a Roman outpost, laid out for the tutorial: timber, stone and ore within a short walk of the barracks, a scouting party to practise on, and a small enemy camp to take once the army is ready.","A quiet meadow between a Carthaginian camp and a Roman outpost, laid out for the tutorial: timber, stone and ore within a short walk of the barracks, a scouting party to practise on, and a small enemy camp to take once the army is ready."
"Training Meadow","Training Meadow"
"A fertile valley for two. One channel runs the whole map north to south and only two fords cross it. A cross spur on each bank means you either hug the water or swing wide to reach them, and the boomerang ridge cupping each start makes the back door terrain rather than a wall. Nothing haunts this valley: it is the plain match, with no Sepulcher to distract either side.","A fertile valley for two. One channel runs the whole map north to south and only two fords cross it. A cross spur on each bank means you either hug the water or swing wide to reach them, and the boomerang ridge cupping each start makes the back door terrain rather than a wall. Nothing haunts this valley: it is the plain match, with no Sepulcher to distract either side."
