"source","translation_tr_TR"
"Return the camera to your camp (%1)","Kamerayı kampına döndür (%1)"
"Hide the camera controls","Kamera denetimlerini gizle"
"Show how to move the camera","Kameranın nasıl hareket ettirileceğini göster"
"Camera controls","Kamera denetimleri"
"Open the field manual (help)","Sahra kılavuzunu aç (yardım)"
"SPECTATOR","İZLEYİCİ"
"Watching a CPU-only match. You cannot issue commands.","Yalnızca bilgisayarların oynadığı bir maçı izliyorsun. Emir veremezsin."
"Resource and building guide","Kaynak ve yapı rehberi"
"Manpower","İnsan gücü"
"Manpower in the field: %1 of %2.\nEvery troop costs manpower; a squad of twelve builders costs ten. This is not a headcount - the selection panel counts soldiers.","Sahadaki insan gücü: %2 üzerinden %1.\nHer birlik insan gücü harcar; on iki kişilik bir inşaatçı müfrezesi on harcar. Bu bir kişi sayımı değildir - seçim paneli askerleri sayar."
"Human players","İnsan oyuncular"
"AI players","Bilgisayar oyuncuları"
"Enemies defeated","Yenilen düşmanlar"
"Minimap","Mini harita"
"MINIMAP","MİNİ HARİTA"
"Left click moves the camera, right click orders selected troops.\nVisible: currently scouted, enemies shown.\nExplored: seen before, terrain only.\nUnseen: never scouted.","Sol tık kamerayı taşır, sağ tık seçili birliklere emir verir.\nGörünür: şu anda gözetleniyor, düşmanlar gösterilir.\nKeşfedilmiş: daha önce görüldü, yalnızca arazi.\nGörülmemiş: hiç gözetlenmedi."
"Visible","Görünür"
"Explored","Keşfedilmiş"
"Unseen","Görülmemiş"
"Basics","Temeller"
"Economy","Ekonomi"
"Buildings","Yapılar"
"Army","Ordu"
"Commander","Komutan"
"Camera","Kamera"
"Controls","Denetimler"
"Tutorial","Eğitim"
"Selecting","Seçme"
"Left-click a unit to select it, or hold the left button and drag a box around several. Hold Ctrl to add to the selection. Selected units show a ring at their feet, and the panel at the bottom lists them by type - click a type to keep only those.","Bir birimi seçmek için sol tıkla ya da sol tuşu basılı tutup birkaçının çevresine kutu çiz. Seçime eklemek için Ctrl'ü basılı tut. Seçili birimlerin ayaklarında bir halka belirir ve alttaki panel onları türlerine göre sıralar - yalnızca birini tutmak için bir türe tıkla."
"Giving orders","Emir verme"
"Right-click the ground to move, right-click an enemy to attack. Hold the right button and drag before releasing to choose the way the troops will face: one unit turns to face where you drag, several units are placed in formation facing it. The command grid offers Attack, Guard, Patrol, Hold, Stop and the builder and commander orders. A marker shows where troops are going and the banner above the grid confirms each order - or explains why it was refused.","Hareket için zemine sağ tıkla, saldırı için düşmana sağ tıkla. Birliklerin hangi yöne bakacağını seçmek için sağ tuşu basılı tutup bırakmadan sürükle: tek birim sürüklediğin yöne döner, birkaç birim ise o yöne bakan bir düzene yerleşir. Komut ızgarası Saldır, Nöbet, Devriye, Mevzi, Dur ile inşaatçı ve komutan emirlerini sunar. Bir işaret birliklerin nereye gittiğini gösterir ve ızgaranın üstündeki şerit her emri onaylar - ya da neden geri çevrildiğini açıklar."
"Guard - hold a spot","Nöbet - bir noktayı tutma"
"Press Guard, then left-click the ground the troops should hold. They fight anything that comes within about 10 m of that spot, let go of anything that runs past it, and walk back once the fight is over. Press Guard again, or give a move or attack order, to release them; Stop alone will not lift it. Any soldier can guard.","Nöbet'e bas, sonra birliklerin tutacağı zemine sol tıkla. O noktanın yaklaşık 10 m yakınına gelen her şeyle çarpışır, yanından koşup geçeni bırakır ve çarpışma bitince geri yürürler. Onları çözmek için yeniden Nöbet'e bas ya da hareket veya saldırı emri ver; tek başına Dur bunu kaldırmaz. Her asker nöbet tutabilir."
"Hold - stand fast","Mevzi - sıkı durma"
"Press Hold and the troops kneel where they stand. They never take a step, but they reach further, hit harder and take more punishment than they would on the move, and braced spears gut a cavalry charge. That is the trade: pursuit for staying power. Press Hold again, or give a move, attack or Stop order, to stand them up. Only archers and spearmen can hold.","Mevzi'ye bas, birlikler durdukları yerde diz çöker. Bir adım bile atmazlar, ama hareket hâlindekinden daha uzağa erişir, daha sert vurur ve daha çok dayanırlar; payandalı mızraklar da bir süvari hücumunu deşer. Takas budur: takip yerine dayanıklılık. Onları ayağa kaldırmak için yeniden Mevzi'ye bas ya da hareket, saldırı veya Dur emri ver. Yalnızca okçular ve mızrakçılar mevzi tutabilir."
"Patrol - walk a beat","Devriye - mekik dokuma"
"Press Patrol, left-click the first waypoint, then left-click the second. The troops march between the two points for good and attack whatever crosses the line - useful for watching a flank while you look elsewhere. Right-click cancels while you are setting it; any other order, or Stop, clears the route.","Devriye'ye bas, ilk ara noktaya sol tıkla, sonra ikincisine sol tıkla. Birlikler iki nokta arasında sürekli yürür ve hattı geçen her şeye saldırır - sen başka yere bakarken bir kanadı gözetlemek için elverişlidir. Ayarlarken sağ tık iptal eder; başka herhangi bir emir ya da Dur güzergâhı siler."
"Winning and losing","Kazanmak ve kaybetmek"
"Each mission states its own victory and defeat conditions in the Objectives screen (Escape, then Objectives). In every battle your commander must survive: a nation dies with the man who leads it, and a lone commander is already lost.","Her görev kendi zafer ve yenilgi koşullarını Hedefler ekranında belirtir (Escape, sonra Hedefler). Her savaşta komutanın hayatta kalmalıdır: bir ulus, kendisini yöneten adamla birlikte ölür ve yalnız kalmış bir komutan çoktan yitirilmiştir."
"The three materials","Üç hammadde"
"Wood comes from pine trees, stone from boulders and iron from ore seams. A builder harvests a node with Collect (or Auto Gather), then carries the load to the stone yard beside a friendly barracks. Only when it is dropped there does the counter in the top bar rise. The yard's piles grow and shrink with your stores.","Odun çam ağaçlarından, taş kayalardan, demir cevher damarlarından gelir. Bir inşaatçı bir kaynağı Topla (ya da Otomatik Topla) ile işler, sonra yükü dost bir kışlanın yanındaki taş avlusuna taşır. Sayaç üst çubukta ancak yük oraya bırakılınca yükselir. Avlunun yığınları depona göre büyür ve küçülür."
"Food","Yiyecek"
"Food feeds your settlement: every civilian recruited at a Home costs it. A Farm grows grain in cycles; when the field turns gold a builder reaps it with Collect and hauls the grain home, and the field is sown again. Builders can also slaughter a sheep for a smaller haul. Auto Gather set to food keeps a builder working the farms.","Yiyecek yerleşimini besler: Ev'de devşirilen her sivil ondan harcar. Tarla dönemler hâlinde tahıl yetiştirir; tarla altın rengine döndüğünde bir inşaatçı onu Topla ile biçer ve tahılı eve taşır, sonra tarla yeniden ekilir. İnşaatçılar daha küçük bir yük için koyun da kesebilir. Yiyeceğe ayarlı Otomatik Topla, bir inşaatçıyı tarlalarda çalıştırmayı sürdürür."
"Gold and trade","Altın ve ticaret"
"Gold comes with the camp and cannot be mined. A marketplace lets you buy materials for gold and sell surplus for it; a temple costs gold to raise.","Altın kampla birlikte gelir ve çıkarılamaz. Bir pazar, altın karşılığı hammadde almanı ve fazlanı satmanı sağlar; bir tapınak yükseltmek altına mal olur."
"Costs","Bedeller"
"Every card - recruit or building - lists its price. A grey card means something is short; hover it to read what. Homes cost 50 wood and 15 stone, a farm 40 wood and 10 stone, a barracks 100 wood and 60 stone, a defence tower 60 wood and 80 stone; soldiers cost wood and iron plus reserve, and civilians cost food.","Her kart - devşirme ya da yapı - fiyatını yazar. Gri bir kart bir şeyin eksik olduğunu gösterir; neyin eksik olduğunu okumak için üzerine gel. Evler 50 odun ve 15 taş, tarla 40 odun ve 10 taş, kışla 100 odun ve 60 taş, savunma kulesi 60 odun ve 80 taş tutar; askerler odun ve demirin yanında yedek, siviller ise yiyecek harcar."
"Placing a structure","Bir yapı yerleştirme"
"Select a builder and press Build to open the structure list. Move the outline over the ground: green means flat, clear ground; red means it is blocked by another building, water or a slope. Scroll to rotate, left-click to confirm, right-click to cancel. The builder walks over and works until it stands.","Bir inşaatçı seç ve yapı listesini açmak için İnşa'ya bas. Taslağı zemin üzerinde gezdir: yeşil düz ve boş zemin demektir; kırmızı başka bir yapı, su ya da bir eğim yüzünden kapalı demektir. Döndürmek için tekerleği çevir, onaylamak için sol tıkla, iptal için sağ tıkla. İnşaatçı oraya yürür ve yapı dikilene kadar çalışır."
"What each building does","Her yapı ne işe yarar"
"Barracks recruit soldiers and hold your stockpile yard. Homes raise families and civilians. Farms grow grain that builders reap for food. Defence towers shoot at anything in range. Marketplaces trade. Temples strengthen morale and take in healers. Walls and gates shape the field; gates open for your own troops.","Kışlalar asker devşirir ve depo avlunu barındırır. Evler aileler ve siviller yetiştirir. Tarlalar, inşaatçıların yiyecek için biçtiği tahılı büyütür. Savunma kuleleri menzillerine gireni vurur. Pazarlar ticaret yapar. Tapınaklar morali güçlendirir ve şifacıları barındırır. Surlar ve kapılar meydanı biçimlendirir; kapılar kendi birliklerine açılır."
"Repair and dismantle","Onarım ve sökme"
"A damaged building can be repaired by a builder with the Repair order. A building you no longer need can be taken down with the Dismantle order: pick your builders, press Dismantle and click the building. Part of what it cost comes back once the work is done, and calling the crew off before then pays nothing.","Hasarlı bir yapı, Onar emriyle bir inşaatçı tarafından onarılabilir. Artık gerek duymadığın bir yapı Sök emriyle indirilebilir: inşaatçılarını seç, Sök'e bas ve yapıya tıkla. İş bittiğinde bedelinin bir kısmı geri gelir; ekibi ondan önce geri çağırmak hiçbir şey ödemez."
"Recruiting","Devşirme"
"Left-click a barracks and pick a soldier; healers take their vows at a temple instead. Recruits queue up to five deep and march out to the rally flag. Each costs reserve from the building's own pool as well as materials.","Bir kışlaya sol tıkla ve bir asker seç; şifacılar yeminlerini bunun yerine bir tapınakta eder. Devşirilenler en çok beş derinliğinde sıraya girer ve toplanma sancağına yürür. Her biri hammaddenin yanında yapının kendi havuzundan da yedek harcar."
"Reserve","Yedek"
"A barracks or temple starts with a reserve and spends it on every recruit; the card shows exactly what each one costs. Homes refill it: each Home raises families over time, a civilian can be recruited there for food and sent to either building with Deliver, and that building's reserve grows. A squad then stands in the field for what it cost, which is what the top bar counts against the map's manpower cap.","Bir kışla ya da tapınak bir yedekle başlar ve her devşirmede ondan harcar; kart her birinin tam olarak neye mal olduğunu gösterir. Evler onu tazeler: her Ev zamanla aile yetiştirir, orada yiyecek karşılığı bir sivil devşirilip Teslim et ile iki yapıdan birine yollanabilir ve o yapının yedeği büyür. Böylece bir müfreze sahada mal olduğu kadar durur; üst çubuğun haritanın insan gücü sınırına karşı saydığı da budur."
"Formations and lines","Düzenler ve hatlar"
"Spearmen hold a line, archers punish from behind it, cavalry breaks flanks, healers mend nearby wounded on their own. Right-click and drag with several units selected to deploy them in a formation that faces the drag; the Formation order opens the same planner where they stand. Run trades stamina for speed.","Mızrakçılar bir hat tutar, okçular arkasından cezalandırır, süvari kanatları kırar, şifacılar yakındaki yaralılara kendiliğinden bakar. Birkaç birim seçiliyken sağ tıklayıp sürükle ve onları sürüklediğin yöne bakan bir düzende yerleştir; Düzen emri aynı planlayıcıyı durdukları yerde açar. Koşmak dayanıklılığı hıza takas eder."
"The standard","Sancak"
"Your commander carries the standard. Troops close to him fight with higher morale, and morale decides who breaks first. Keep him behind the spears: if he falls the mission is lost.","Sancağı komutanın taşır. Ona yakın birlikler daha yüksek morille çarpışır ve önce kimin dağılacağına moral karar verir. Onu mızrakların gerisinde tut: düşerse görev kaybedilir."
"Aura and Rally","Aura ve Toplanma"
"With the commander selected, Aura empowers his troops for a stretch and then has to recharge - each commander brings his own bonus, radius and timings, and the button prints them along with the time left. A glow marks every soldier inside the ring, the ring travels with him, and a wounded commander cannot call it. Rally plants a flag that your army marches to - useful for pulling a scattered force back into a line.","Komutan seçiliyken Aura, birliklerini bir süre güçlendirir ve sonra yenilenmesi gerekir - her komutan kendi desteğini, yarıçapını ve sürelerini getirir ve düğme bunları kalan süreyle birlikte yazar. Halkanın içindeki her askeri bir parıltı işaretler, halka onunla birlikte gezer ve yaralı bir komutan bunu çağıramaz. Toplanma, ordunun yürüdüğü bir sancak diker - dağılmış bir kuvveti tekrar hatta çekmek için elverişlidir."
"Taking direct control","Doğrudan denetimi alma"
"Where the mission allows it, you can step into the commander's boots and lead from the field. The controls for that mode are listed under Controls.","Görevin izin verdiği yerde komutanın yerine geçip meydandan yönetebilirsin. O kipin denetimleri Denetimler altında sıralanmıştır."
