"source","translation_pl_PL"
"A barracks or temple starts with a reserve and spends it on every recruit; the card shows exactly what each one costs. Homes refill it: each Home raises families over time, a civilian can be recruited there for food and sent to either building with Deliver, and that building's reserve grows. A squad then stands in the field for what it cost, which is what the top bar counts against the map's manpower cap.","Koszary lub świątynia zaczynają z rezerwą i wydają ją na każdego rekruta; karta pokazuje dokładnie, ile kosztuje każdy z nich. Domy ją uzupełniają: każdy Dom z czasem wychowuje rodziny, można tam za żywność zrekrutować cywila i posłać go rozkazem Odstaw do jednej z tych budowli, a jej rezerwa rośnie. Oddział stoi potem w polu za to, co kosztował — i właśnie to górny pasek zestawia z limitem ludzi na mapie."
"Formations and lines","Szyki i linie"
"Spearmen hold a line, archers punish from behind it, cavalry breaks flanks, healers mend nearby wounded on their own. Right-click and drag with several units selected to deploy them in a formation that faces the drag; the Formation order opens the same planner where they stand. Run trades stamina for speed.","Włócznicy trzymają linię, łucznicy karzą zza niej, jazda łamie skrzydła, a uzdrowiciele sami opatrują rannych w pobliżu. Kliknij prawym i przeciągnij, mając zaznaczonych kilka jednostek, by rozstawić je w szyku zwróconym zgodnie z przeciągnięciem; rozkaz Szyk otwiera ten sam planer tam, gdzie stoją. Bieg oddaje wytrzymałość za szybkość."
"The standard","Sztandar"
"Your commander carries the standard. Troops close to him fight with higher morale, and morale decides who breaks first. Keep him behind the spears: if he falls the mission is lost.","Twój dowódca niesie sztandar. Oddziały blisko niego walczą z wyższym morale, a morale rozstrzyga, kto pierwszy pęknie. Trzymaj go za włóczniami: jeśli padnie, misja jest przegrana."
"Aura and Rally","Aura i zbiórka"
"With the commander selected, Aura empowers his troops for a stretch and then has to recharge - each commander brings his own bonus, radius and timings, and the button prints them along with the time left. A glow marks every soldier inside the ring, the ring travels with him, and a wounded commander cannot call it. Rally plants a flag that your army marches to - useful for pulling a scattered force back into a line.","Gdy dowódca jest zaznaczony, Aura wzmacnia jego oddziały na jakiś czas i potem musi się odnowić — każdy dowódca wnosi własną premię, promień i czasy, a przycisk je wypisuje razem z pozostałym czasem. Poświata znaczy każdego żołnierza wewnątrz kręgu, krąg wędruje razem z nim, a ranny dowódca nie może jej wezwać. Zbiórka wbija sztandar, do którego maszeruje twoja armia — przydatne, by ściągnąć rozproszone siły z powrotem w linię."
"Taking direct control","Przejęcie bezpośredniego dowodzenia"
"Where the mission allows it, you can step into the commander's boots and lead from the field. The controls for that mode are listed under Controls.","Tam, gdzie misja na to pozwala, możesz wejść w buty dowódcy i poprowadzić bitwę z pola. Sterowanie w tym trybie wypisano w zakładce Sterowanie."
"Pace and view","Tempo i widok"
"The top-left buttons pause the battle and set the speed, from half up to quadruple; Space pauses too, and + and - step through the speeds. The active speed stays lit while paused and can be changed there. Move the camera with the arrow keys or WASD, or push the mouse to the screen edge; scroll or PgUp and PgDown to zoom, Q and E to rotate, Ctrl with the up and down arrows to tilt; Home returns to your camp and Follow keeps the camera on your selection. Every one of these can be rebound under Settings › Controls, where each camera command says what it does.","Przyciski w lewym górnym rogu wstrzymują bitwę i ustawiają tempo, od połowy po poczwórne; Spacja też wstrzymuje, a + i - przechodzą przez tempa. Wybrane tempo pozostaje podświetlone w pauzie i można je tam zmienić. Kamerą ruszasz strzałkami albo WASD, lub dosuwając mysz do krawędzi ekranu; kółko albo PgUp i PgDown przybliżają, Q i E obracają, Ctrl ze strzałkami góra-dół pochyla; Home wraca do obozu, a Śledzenie trzyma kamerę na zaznaczeniu. Każde z nich można przypisać na nowo w Ustawieniach › Sterowanie, gdzie przy każdym poleceniu kamery napisano, co robi."
"Field manual","Podręcznik polowy"
"Field Manual","Podręcznik polowy"
"Close the field manual","Zamknij podręcznik polowy"
"unbound","nieprzypisane"
"The tutorial is a guided first battle on a small meadow. Each step names one goal, tells you when it is done, and explains why an order is refused. It also points: the button a step is talking about lights up in the command bar, and what you are meant to act on is ringed on the field and pinned on the minimap - press Show me to swing the camera onto it. Steps can be paused, skipped and replayed at any time.","Samouczek to prowadzona pierwsza bitwa na małej łące. Każdy krok nazywa jeden cel, mówi, kiedy jest wykonany, i tłumaczy, czemu rozkaz został odrzucony. Podpowiada też: przycisk, o którym mówi krok, zapala się na pasku poleceń, a to, na co masz zadziałać, dostaje pierścień na polu i pinezkę na minimapie — naciśnij Pokaż mi, by obrócić tam kamerę. Kroki można w każdej chwili wstrzymać, pominąć i powtórzyć."
"%1. %2","%1. %2"
"Start the tutorial","Rozpocznij samouczek"
"Show tutorial card","Pokaż kartę samouczka"
"Restart the steps","Zacznij kroki od nowa"
"Close","Zamknij"
"Hide this","Ukryj to"
"Never show this again","Nie pokazuj tego więcej"
"Mouse Left","Lewy przycisk myszy"
"Mouse Right","Prawy przycisk myszy"
"Mouse Middle","Środkowy przycisk myszy"
"Mouse Back","Przycisk myszy wstecz"
"Mouse Forward","Przycisk myszy naprzód"
"Unbound","Nieprzypisane"
"%1 of %2","%1 z %2"
"Pick a target","Wskaż cel"
"OK","OK"
"Battle Report","Raport z bitwy"
"Battle Decided","Bitwa rozstrzygnięta"
"The Campaign is Won","Kampania wygrana"
"Training Complete","Samouczek ukończony"
"Victory Secured","Zwycięstwo zapewnione"
"Army Broken","Armia rozbita"
"One side is left holding the field.","Jedna strona zostaje na placu boju."
"Every mission has fallen to your standard.","Każda misja padła przed twoim sztandarem."
"You can run an army now. The Barcid Road is waiting.","Umiesz już poprowadzić armię. Droga Barkidów czeka."
"Every order carried out.","Każdy rozkaz wykonany."
"Enemy command has fallen.","Dowództwo wroga padło."
"Your command has collapsed.","Twoje dowództwo się załamało."
"March the Campaign","Wyrusz na kampanię"
"Search","Szukaj"
"Selected units","Zaznaczone jednostki"
"%1 / %2","%1 / %2"
"%1/%2","%1/%2"
"YOUR BUILDING","TWOJA BUDOWLA"
"YOUR UNIT","TWOJA JEDNOSTKA"
"ENEMY BUILDING","BUDOWLA WROGA"
"ENEMY UNIT","JEDNOSTKA WROGA"
"BUILDING","BUDOWLA"
"UNIT","JEDNOSTKA"
"Under attack by %n of your units","Atakuje ją %n twoja jednostka | Atakują ją %n twoje jednostki | Atakuje ją %n twoich jednostek"
"Not engaged by your army","Nie jest atakowany przez twoją armię"
"Under attack by %n enemies","Atakuje go %n wróg | Atakuje go %n wrogów | Atakuje go %n wrogów"
"Not under attack","Nie jest atakowany"
"SELECTION","ZAZNACZENIE"
"SELECTED UNIT","ZAZNACZONA JEDNOSTKA"
"SELECTED FORCE","ZAZNACZONE SIŁY"
"%1 soldiers ready","Gotowych żołnierzy: %1"
"Show what this unit is for","Pokaż, do czego służy ta jednostka"
"Unit details","Szczegóły jednostki"
"Enemy","Wróg"
"Yours","Twoje"
"Neutral","Neutralny"
"1 unit","1 jednostka"
"%1 units","jednostki: %1"
"%1 units  ·  %2 types","jednostki: %1  ·  typy: %2"
"ATK","ATK"
"RNG","ZAS"
"SPD","SZYB"
"HEALTH","ZDROWIE"
"%1 soldiers","żołnierzy: %1"
"Drag a box over your troops, or click a unit","Zakreśl ramką swoje oddziały albo kliknij jednostkę"
"SOLDIERS","ŻOŁNIERZE"
"%1%","%1%"
"STAMINA","WYTRZYMAŁOŚĆ"
"soldiers —","żołnierzy —"
"(mixed)","(mieszane)"
"%1 wounded","rannych: %1"
"Map load failed: %1","Wczytanie mapy nie powiodło się: %1"
"Prewarming templates: scanning unit profiles...","Rozgrzewanie szablonów: przeglądanie profili jednostek..."
"Prewarming templates: %1 / %2","Rozgrzewanie szablonów: %1 / %2"
"Queued deferred template warmup (%1 additional)","Odroczone rozgrzewanie szablonów w kolejce (dodatkowo %1)"
"Template warmup complete (%1 core, %2 total)","Rozgrzewanie szablonów zakończone (%1 podstawowych, %2 łącznie)"
"Template warmup cancelled","Rozgrzewanie szablonów anulowane"
"%1h %2m","%1 h %2 min"
"%1m","%1 min"
"Campaign","Kampania"
"Skirmish","Potyczka"
"%1 - autosave","%1 — autozapis"
"%1 - quicksave","%1 — szybki zapis"
"Load game","Wczytaj grę"
"Cancel","Anuluj"
"No saves found","Nie znaleziono zapisów"
"Untitled Save","Zapis bez nazwy"
"Unknown Map","Nieznana mapa"
"No Preview","Brak podglądu"
"%1 · %2","%1 · %2"
"Saved %1","Zapisano %1"
"Played %1","Grano %1"
"Export","Eksportuj"
"Exported to %1","Wyeksportowano do %1"
"Export failed","Eksport nie powiódł się"
"Verify","Sprawdź"
"Verification Passed","Sprawdzenie zaliczone"
"Verification Failed","Sprawdzenie nieudane"
"""%1"" is intact. The save file has not been corrupted.","„%1” jest nienaruszony. Plik zapisu nie został uszkodzony."
"""%1"" is corrupted and cannot be loaded. The save failed its integrity check.","„%1” jest uszkodzony i nie da się go wczytać. Zapis nie przeszedł kontroli spójności."
"Delete","Usuń"
"Import...","Importuj..."
"Load","Wczytaj"
"Pick a saved game first.","Najpierw wybierz zapisaną grę."
"Confirm Delete","Potwierdź usunięcie"
"Are you sure you want to delete the save:\n""%1""?\n\nThis action cannot be undone.","Czy na pewno chcesz usunąć zapis:\n„%1”?\n\nTej czynności nie da się cofnąć."
"Save Verification","Sprawdzanie zapisu"
"Import Save","Import zapisu"
"Save files found in the exports folder:","Pliki zapisu znalezione w folderze eksportu:"
"Import","Importuj"
"Imported as ""%1""","Zaimportowano jako „%1”"
"Import failed","Import nie powiódł się"
"No importable save files were found.","Nie znaleziono plików zapisu do zaimportowania."
"Loading...","Wczytywanie..."
"Not Started","Nie rozpoczęto"
"Initializing...","Inicjowanie..."
"Loading Map Data...","Wczytywanie danych mapy..."
"Loading Terrain...","Wczytywanie terenu..."
"Loading Biome...","Wczytywanie biomu..."
"Loading Water Features...","Wczytywanie wód..."
"Loading Roads...","Wczytywanie dróg..."
"Loading Environment...","Wczytywanie otoczenia..."
"Loading Fog...","Wczytywanie mgły..."
"Loading Units & Buildings...","Wczytywanie jednostek i budowli..."
"Loading Audio...","Wczytywanie dźwięku..."
"Generating Minimap...","Generowanie minimapy..."
"Initializing Game Systems...","Uruchamianie systemów gry..."
"Finalizing...","Kończenie..."
"Complete","Ukończono"
"Failed","Niepowodzenie"
"Unknown","Nieznane"
"A commander who personally investigates every problem soon becomes one of them.","Dowódca, który osobiście bada każdy problem, wkrótce staje się jednym z nich."
"A formation that becomes scattered is easier to surround and destroy.","Rozproszony szyk łatwiej otoczyć i zniszczyć."
"A narrow front can prevent a numerically superior enemy from using all of its troops at once.","Wąski front może uniemożliwić liczniejszemu wrogowi użycie wszystkich oddziałów naraz."
"A retreat made early can preserve an army. A retreat made late can become a rout.","Odwrót w porę ocala armię. Odwrót spóźniony zmienia się w pogrom."
"A strong economy cannot help you if the enemy cuts the road between it and your army.","Silna gospodarka nic ci nie da, jeśli wróg przetnie drogę między nią a twoją armią."
"A unit surrounded on several sides will struggle even if it began the fight at full strength.","Jednostka otoczona z kilku stron będzie w tarapatach, nawet jeśli zaczęła walkę w pełnej sile."
"A well-defended position is one the enemy has not yet discovered a ridiculous way around.","Dobrze broniona pozycja to taka, wokół której wróg nie znalazł jeszcze absurdalnego obejścia."
"An army marches on its stomach. The stomach, regrettably, also requires a supply line.","Armia maszeruje na żołądku. Żołądek, niestety, potrzebuje też linii zaopatrzenia."
"Archers perform best when protected from direct melee combat.","Łucznicy spisują się najlepiej, gdy chroni się ich przed walką wręcz."
"Avoid sending cavalry directly into prepared infantry formations.","Nie posyłaj jazdy wprost na przygotowane szyki piechoty."
"Battles are often decided before contact through positioning, preparation, and logistics.","Bitwy często rozstrzygają się przed kontaktem — przez ustawienie, przygotowanie i zaopatrzenie."
"Building near resources can reduce the amount of time workers spend carrying supplies.","Budowanie blisko surowców skraca czas, który robotnicy tracą na noszenie."
"Capturing useful infrastructure can be more valuable than destroying it.","Zdobycie użytecznej infrastruktury bywa cenniejsze niż jej zniszczenie."
"Cavalry can arrive quickly. Whether they should have arrived there is another question.","Jazda potrafi przybyć szybko. Czy powinna była przybyć akurat tam, to inna sprawa."
"Cavalry is most effective when attacking exposed flanks or isolated units.","Jazda jest najskuteczniejsza, gdy uderza w odsłonięte skrzydła albo osamotnione jednostki."
"Clearing a dangerous area is not the same as securing it. Check what remains nearby.","Oczyszczenie niebezpiecznego terenu to nie to samo, co jego opanowanie. Sprawdź, co zostało w pobliżu."
