"source","translation_es_ES"
"No saves found","No se han encontrado partidas guardadas"
"No Preview","Sin vista previa"
"Load","Cargar"
"Delete","Eliminar"
"Confirm Delete","Confirmar eliminación"
"Are you sure you want to delete the save:\n""%1""?\n\nThis action cannot be undone.","¿Seguro que quieres eliminar la partida guardada:\n«%1»?\n\nEsta acción no se puede deshacer."
"%1h %2m","%1 h %2 min"
"%1m","%1 min"
"Campaign","Campaña"
"Skirmish","Escaramuza"
"%1 - autosave","%1 - guardado automático"
"%1 - quicksave","%1 - guardado rápido"
"%1 · %2","%1 · %2"
"Saved %1","Guardada el %1"
"Played %1","Jugada %1"
"Export","Exportar"
"Exported to %1","Exportada a %1"
"Export failed","La exportación ha fallado"
"Verify","Verificar"
"Verification Passed","Verificación superada"
"Verification Failed","Verificación fallida"
"""%1"" is intact. The save file has not been corrupted.","«%1» está intacta. El archivo de guardado no se ha dañado."
"""%1"" is corrupted and cannot be loaded. The save failed its integrity check.","«%1» está dañada y no se puede cargar. El guardado no ha superado la comprobación de integridad."
"Import...","Importar..."
"Save Verification","Verificación de la partida guardada"
"Import Save","Importar partida guardada"
"Save files found in the exports folder:","Archivos de guardado encontrados en la carpeta de exportaciones:"
"Import","Importar"
"Imported as ""%1""","Importada como «%1»"
"Import failed","La importación ha fallado"
"No importable save files were found.","No se han encontrado archivos de guardado importables."
"Untitled Save","Partida sin título"
"Unknown Map","Mapa desconocido"
"Pick a saved game first.","Elige primero una partida guardada."
"Loading...","Cargando..."
"Not Started","Sin iniciar"
"Initializing...","Inicializando..."
"Loading Map Data...","Cargando datos del mapa..."
"Loading Terrain...","Cargando el terreno..."
"Loading Biome...","Cargando el bioma..."
"Loading Water Features...","Cargando los cursos de agua..."
"Loading Roads...","Cargando los caminos..."
"Loading Environment...","Cargando el entorno..."
"Loading Fog...","Cargando la niebla..."
"Loading Units & Buildings...","Cargando unidades y edificios..."
"Loading Audio...","Cargando el audio..."
"Generating Minimap...","Generando el minimapa..."
"Initializing Game Systems...","Inicializando los sistemas de juego..."
"Finalizing...","Finalizando..."
"Complete","Completado"
"Failed","Fallido"
"Unknown","Desconocido"
"A new standard in the valley, and nobody under it who has held a spear more than twice.","Un estandarte nuevo en el valle, y nadie bajo él que haya empuñado una lanza más de dos veces."
"Standard of Iron - RTS Game","Standard of Iron - Juego de estrategia en tiempo real"
"PAUSED","EN PAUSA"
"Press Space to resume","Pulsa Espacio para reanudar"
"Error","Error"
"STANDARD OF IRON","STANDARD OF IRON"
"Save Game","Guardar partida"
"Load Game","Cargar partida"
"Settings","Ajustes"
"Exit","Salir"
"Play Skirmish","Jugar escaramuza"
"Choose the field and deploy armies","Elige el campo y despliega ejércitos"
"Battle","Batalla"
"Campaign","Campaña"
"March through the Second Punic War","Marcha a través de la Segunda Guerra Púnica"
"Start here","Empieza aquí"
"War Map","Mapa de guerra"
"Objectives","Objetivos"
"Review active orders","Revisa las órdenes activas"
"Orders","Órdenes"
"Record the current campaign state","Registra el estado actual de la campaña"
"Archive","Archivo"
"Return to a saved command","Vuelve a un mando guardado"
"Return","Volver"
"Display, audio, and controls","Pantalla, sonido y controles"
"Options","Opciones"
"Leave the war table","Abandona la mesa de guerra"
"Retire","Retirarse"
"Rome and Carthage at the edge of empire","Roma y Cartago al filo del imperio"
"SECOND PUNIC WAR","SEGUNDA GUERRA PÚNICA"
"Legions, fleets, elephants, and contested supply lines","Legiones, flotas, elefantes y líneas de suministro disputadas"
"SPQR","SPQR"
"QART-HADAST","QART-HADAST"
"Enter","Intro"
"Esc","Esc"
"Navigate","Navegar"
"Confirm","Confirmar"
"Resume battle","Reanudar la batalla"
"Hannibal Barca","Aníbal Barca"
"Scipio Africanus","Escipión el Africano"
"CARTHAGE","CARTAGO"
"ROME","ROMA"
"Tutorial","Tutorial"
"Learn to command in a guided first battle","Aprende a mandar en una primera batalla guiada"
"Training","Instrucción"
"Field Manual","Manual de campaña"
"How selection, economy, buildings and armies work","Cómo funcionan la selección, la economía, los edificios y los ejércitos"
"Help","Ayuda"
"Maps","Mapas"
"No maps available","No hay mapas disponibles"
"Select a map\nto see preview","Selecciona un mapa\npara ver la vista previa"
"No preview available","No hay vista previa disponible"
"Bases shown in player colours","Las bases se muestran en los colores de cada jugador"
"No maps available","No hay mapas disponibles"
"Loading maps...","Cargando mapas..."
"Team %1","Equipo %1"
"+ Add CPU","+ Añadir CPU"
"Roman Republic","República romana"
"Commander","Comandante"
"Nation","Nación"
"Need at least 1 enabled player to start","Se necesita al menos 1 jugador activo para empezar"
"Need at least 2 enabled players to start","Se necesitan al menos 2 jugadores activos para empezar"
"At least two teams must be selected to start a match","Hay que seleccionar al menos dos equipos para iniciar una partida"
"CPU %1","CPU %1"
"You","Tú"
"Skirmish","Escaramuza"
"Pick a battlefield, then set the colours, nations and commanders that take the field.","Elige un campo de batalla y luego define los colores, las naciones y los comandantes que saldrán al campo."
"← Back","← Atrás"
"Battlefields","Campos de batalla"
"Slots","Puestos"
"Player slots this battlefield was authored for","Puestos de jugador para los que se diseñó este campo de batalla"
"In play","En juego"
"Players that will take the field","Jugadores que saldrán al campo"
"Sides","Bandos"
"Distinct teams among the players in play","Equipos distintos entre los jugadores en juego"
"Opposition","Oposición"
"Scripted","Guionizada"
"Players only","Solo jugadores"
"This battlefield brings its own enemies, so you can start alone","Este campo de batalla trae sus propios enemigos, así que puedes empezar en solitario"
"This battlefield needs at least two opposing players","Este campo de batalla necesita al menos dos jugadores enfrentados"
"Select a battlefield to continue","Elige un campo de batalla para continuar"
"Order of Battle","Orden de batalla"
"Click any chip to change it","Haz clic en cualquier ficha para cambiarla"
"Every slot on this battlefield is taken","Todos los puestos de este campo de batalla están ocupados"
"Add an AI opponent","Añadir un rival de la IA"
"Leave this slot empty","Dejar este puesto vacío"
"Bring this slot into the battle","Llevar este puesto a la batalla"
"Slot %1 • click to move seat","Puesto %1 • haz clic para cambiar de asiento"
"Slot %1 • AI","Puesto %1 • IA"
"Colour","Color"
"Player colour — click to change","Color del jugador: haz clic para cambiarlo"
"Nation — click to change","Nación: haz clic para cambiarla"
"%1 — click to change commander","%1: haz clic para cambiar de comandante"
"Commander — click to change","Comandante: haz clic para cambiarlo"
"Team — click to change sides","Equipo: haz clic para cambiar de bando"
"Remove this opponent","Quitar a este rival"
"↑ ↓ Choose","↑ ↓ Elegir"
"Enter Start","Enter Empezar"
"Esc Back","Esc Atrás"
"Play ▶","Jugar ▶"
"Start the battle (Enter)","Comenzar la batalla (Enter)"
"Player %1","Jugador %1"
"AI Player %1","Jugador IA %1"
"Unnamed Map","Mapa sin nombre"
"A balanced Mediterranean skirmish map set among olive groves, dry wadis, terraced hills, and dusty farm roads. Control of the center and side ridges helps, but victory is standard barracks elimination.","Un mapa de escaramuza mediterráneo equilibrado, entre olivares, ramblas secas, colinas aterrazadas y polvorientos caminos de labranza. Controlar el centro y las lomas laterales ayuda, pero la victoria es la eliminación estándar de cuarteles."
"A large balanced mountain skirmish map with two fortified bases, a contested central ridge, narrow high passes, flank trails, alpine streams, and strong archer positions. Victory is standard barracks elimination.","Un amplio mapa de escaramuza de montaña equilibrado, con dos bases fortificadas, una loma central disputada, angostos pasos de altura, sendas de flanqueo, arroyos alpinos y sólidas posiciones para arqueros. La victoria es la eliminación estándar de cuarteles."
"A rich strategic crossroads map with contested central bridges, neutral corner barracks, flank routes, and high ground around key crossings.","Un rico mapa estratégico de encrucijada, con puentes centrales disputados, cuarteles neutrales en las esquinas, rutas de flanqueo y terreno elevado en torno a los cruces clave."
"Battle of Cannae","Batalla de Cannas"
"Battle of Lake Trasimene","Batalla del lago Trasimeno"
"Battle of Ticino","Batalla del Tesino"
"Battle of Trebia","Batalla del Trebia"
"Battle of Zama","Batalla de Zama"
"Campania Campaign","Campaña de Campania"
"Crossing the Alps","El paso de los Alpes"
"Crossing the Rhone - Polished Maze Version","El paso del Ródano - versión laberinto pulida"
"Forest Battlefield","Campo de batalla boscoso"
"Iron Sepulcher Watch","Vigilia del Sepulcro de Hierro"
"Mountain Strongholds","Baluartes de montaña"
"River Crossroads","Encrucijada del río"
"Small authored scenario that demonstrates ruins, a shrine, and undead awakening zones.","Pequeño escenario diseñado que muestra ruinas, un santuario y zonas de despertar de los no muertos."
"Spanish Olive Grove","Olivar hispano"
"A dense symmetrical forest battlefield for two active players, built around road reading, ambush forests, hill control, side objectives, and two neutral barracks. There are no rivers, bridges, or mountains. Roads deliberately route around hills instead of crossing over them.","Un denso campo de batalla boscoso y simétrico para dos jugadores activos, construido en torno a la lectura de los caminos, bosques para emboscar, el control de las colinas, objetivos secundarios y dos cuarteles neutrales. No hay ríos, puentes ni montañas. Los caminos rodean deliberadamente las colinas en vez de cruzarlas."
